image_path,style_label,pattern_label,color_label
dataset\train\co-ord eastern sets\pin_582794008072192646_BrandAffection UK.jpg,0,0,8
dataset\train\co-ord eastern sets\pin_613052568057761893_#trendy.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_613685886762871986.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_621567186115290252_Elegant Pink Printed Co-Ord Set Styling 🌸 _ Chic Ethnic Outfit Inspiration.png,0,1,2
dataset\train\co-ord eastern sets\pin_6333255724846438.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_640988959489823955.jpg,0,0,8
dataset\train\co-ord eastern sets\pin_648518415126245767.png,0,0,7
dataset\train\co-ord eastern sets\pin_656681189439201577_🌸🌷.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_657103401929116378_Amazon Finds ANNI DESIGNER Women’s Rayon Viscose Ethnic Co-Ord Set.jpg,0,2,2
dataset\train\co-ord eastern sets\pin_666110601211942870.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_672725263117779878.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_675540012873670278.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_692850723962457183.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_693624780153851587.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_731272058286952093.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_745416175856835983.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_761249143305497812.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_769904498841094700.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_770397080050696479.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_771593348695476298.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_774689573437722569_Sana Safinaz Mahay Lawn 2025 Vol 1 _ H251-014B - Buy Online in India.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_774689573437791720_Coco by Zara Shahjahan Embroidered Lawn 2025 _ 2A - Buy Online in India.jpg,0,2,4
dataset\train\co-ord eastern sets\pin_774900679657725017_Printed Dress Designs for Eid 2023 _ Summer Dress Designing _ MK FASHION.jpg,0,1,2
dataset\train\co-ord eastern sets\pin_780037598001258789.jpg,0,0,1
dataset\train\co-ord eastern sets\pin_813181276508224035.jpg,0,0,8
dataset\train\co-ord eastern sets\pin_818458932324145830.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_821062575854048166_desi fit.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_832180837435528901.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_833306737336964435_Ophelia Kurta Set (1).jpg,0,0,4
dataset\train\co-ord eastern sets\pin_833306737336964435_Ophelia Kurta Set.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_845832373806628445.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_877639046146367356_lawn _ Silk CO-Ords www.brandaffection.uk Link in.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_880664902139544326.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_880664902139544331.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_891994270137250018.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_894809019716398837_Tropical Fiesta Cotton Multicolor Co-Ord Set Perfect Matching Top Bottom Kurti Pant Set Indian Cotto.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_896497869569656243.png,0,0,2
dataset\train\co-ord eastern sets\pin_915356693032469028.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_915356693032820318.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_927952698231501471.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_927952698233058821.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_940056122243663069.png,0,0,0
dataset\train\co-ord eastern sets\pin_942096815808724684.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_949485533957830406_Embroidery Co-ord set.jpg,0,2,9
dataset\train\co-ord eastern sets\pin_959900108072911935_girls outfit.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_96264510776759889.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_96264510776953685.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_96264510777017930.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_96264510777103899.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_96264510777103907.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510778155422.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510778244744.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_96264510778750278.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510778750284.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510778795381.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779554717.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_96264510779558205.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_96264510779558284.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779558317.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_96264510779731005.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779786179.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_96264510779822278.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779826960.jpg,0,0,1
dataset\train\co-ord eastern sets\pin_96264510779826966.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_96264510779969021.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779969022.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_96264510779971289.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510779971312.jpg,0,0,6
dataset\train\co-ord eastern sets\pin_96264510780154959.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_96264510780170238.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510780170248.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510780170252.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_96264510780173512.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510780173523.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_96264510780176268.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_96264510780176680.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510780176682.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_96264510780176718.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_971159107161491966_Blush Bloom Elegance 🌸✨.jpg,0,1,2
"dataset\train\co-ord eastern sets\pin_976084919253152900_Slay easy, stay comfy — the perfect pair awaits. _.jpg",0,0,2
dataset\train\co-ord eastern sets\pin_984388431061486473.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_993747474037761115.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_995999273835969501.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_996280748838925277_saaya.jpg,0,0,9
dataset\train\frock\009d9973d8f19dff670d6b783d6336f7.jpg,1,0,4
dataset\train\frock\026a63ddc4c8db41986f5058ad582672.jpg,1,0,3
dataset\train\frock\03ce0a49ff14d83cc3a712aa71b001f6.jpg,1,0,4
dataset\train\frock\06284c9e83dc20b42758c302aa717b4f.jpg,1,0,1
dataset\train\frock\06795b9eef5851fa828a72e687dcb8b3.jpg,1,0,7
dataset\train\frock\0a7ea4a611b274e0c1be670b6bd8aa4e.jpg,1,0,3
dataset\train\frock\0cb01d3f8db29569002e4edc05ba6375.jpg,1,0,9
dataset\train\frock\0e2e905cd40f2490628f0f518c8803a8.jpg,1,0,4
dataset\train\frock\1227de16db819bbe6f35367920c7f711.jpg,1,0,3
dataset\train\frock\1801e02b1bfb1ca0178ade11c727b9d6.jpg,1,0,4
dataset\train\frock\18b252a62c4011aaa27b3b8e46f4d8f9.jpg,1,0,4
dataset\train\frock\1f4a3a59f4810cb791628b996b16af89.jpg,1,0,4
dataset\train\frock\20cf8ac681e0e631ecf86a79578095bb.jpg,1,0,4
dataset\train\frock\25dc00d74031dad17b1a5e478bbc4846.jpg,1,0,3
dataset\train\frock\28187449d0e7e4e1cb82fdde3f57f7d8.jpg,1,0,2
dataset\train\frock\292924d02ba246d00696936058159de9.jpg,1,0,1
dataset\train\frock\2fc90a7de3e006419a088e92e53109b0.jpg,1,0,4
dataset\train\frock\2ff1f51902b4e81b26b82f4d7063ecf5.jpg,1,0,5
dataset\train\frock\304c580df26232f408396cc423eb21c5.jpg,1,0,7
dataset\train\frock\30e867feef2dedff45c1866a738fa74a.jpg,1,0,1
dataset\train\frock\3a26b049430ab805d1a6071c9618dbd4.jpg,1,0,4
dataset\train\frock\3b51d72033eea13cab140ad0974c21c5.jpg,1,0,4
dataset\train\frock\3c1cf66658e60ab882b597b8e8afb612.jpg,1,0,6
dataset\train\frock\3d2b20e5db6b038e326b37dfed7e6fa5.jpg,1,0,5
dataset\train\frock\4056c4467ca082368bcdf42d4226d0bb.jpg,1,0,5
dataset\train\frock\4538f1a060c805c66ebfbc080124f0e5.jpg,1,0,4
dataset\train\frock\46d9d4df9d3eead6d177002f5396958b.jpg,1,0,1
dataset\train\frock\49fa11bc07e4fe1e2532a2a741d09112.jpg,1,0,4
dataset\train\frock\4c2b8875871e5cff066bcf7f633ec206.jpg,1,0,9
dataset\train\frock\4eabd06442ed4be10357c2c7e270a004.jpg,1,0,6
dataset\train\frock\509c655fc506b79c47e042e789aea0ff.jpg,1,0,4
dataset\train\frock\5336732e8554255b0f28407f074e22a5.jpg,1,0,4
dataset\train\frock\58a902ccc7229c0f5d2b3dbb0b03a005.jpg,1,0,5
dataset\train\frock\5a1f7b2ff66c3529ed5c50408d360294 (1).jpg,1,0,4
dataset\train\frock\5f451b79fb10b2674c15032771b5a0fe.jpg,1,0,9
dataset\train\frock\613600dc5d569dc04b391c6dafa9ff4a.jpg,1,0,3
dataset\train\frock\62929c2acb9e4eca47d0d67414cd0e02.jpg,1,0,4
dataset\train\frock\6363cf2ebe19559494ec949e9f198a8d.jpg,1,0,3
dataset\train\frock\651f21ef82582895a7242b5da33bf33c.jpg,1,0,4
dataset\train\frock\6caf8724fbdf427a836da6521986336a.jpg,1,0,9
dataset\train\frock\6d9b50baee30e40ce9b0028532559b4a.jpg,1,0,7
dataset\train\frock\6e5b56365cbb8effdba4b49c808c3a7b.jpg,1,0,4
dataset\train\frock\6ecc18ca6fcc540a132132c94b9851b9.jpg,1,0,1
dataset\train\frock\7659abc9719dd767f043f6dd9a1dd1d2.jpg,1,0,7
dataset\train\frock\7af351ad39a63008235fe671a9b048da.jpg,1,0,2
dataset\train\frock\80866062d76058155cf8e2fc71fa2235.jpg,1,0,9
dataset\train\frock\820f3ba9be7466c0af8a849c86678b28.jpg,1,0,5
dataset\train\frock\82d1d901ba7f61492c38adc31cc37e22.jpg,1,0,5
dataset\train\frock\84d554ecb545724ef9f1f596196a56d4.jpg,1,0,1
dataset\train\frock\8663d673a759ed1648154e62e5be7775.jpg,1,0,9
dataset\train\frock\868759c6686950c903d8e50dd4c0bfc9.jpg,1,0,9
dataset\train\frock\88ea5c0888a6d54c08a2c1a7f52cb5b0.jpg,1,0,4
dataset\train\frock\8d04e6e874bb73365946e4c5fe710b6f.jpg,1,0,3
dataset\train\frock\8fbaf96f6e64412fc237fd22e31297e3.jpg,1,0,5
dataset\train\frock\931ff56851fcc2527847761641d46441.jpg,1,0,5
dataset\train\frock\947189c8ac9285f8a0903de815704691.jpg,1,0,3
dataset\train\frock\98f7fb215956e6fdb016291083d981a6.jpg,1,0,2
dataset\train\frock\9a0e0b52d9b366c986343afbf9ef1d4f.jpg,1,0,4
dataset\train\frock\9abf16a80f1d36538864b11402d5ace0.jpg,1,0,4
dataset\train\frock\a06b155a45d0b344b207ede9a0e588c1.jpg,1,0,4
dataset\train\frock\a1e3a1b962b2bbd954dbd221b6e2a9e7.jpg,1,0,6
dataset\train\frock\a4da2ba7d534ab0d88352fd6db99c8cd.jpg,1,0,4
dataset\train\frock\a905dc83703b26bde4d6b01ef1cbe244.jpg,1,0,4
dataset\train\frock\a935b91d7613e956d4937c7cb75cc180.jpg,1,0,7
dataset\train\frock\a95a36a32d239082b37bc50142c4c411.jpg,1,0,3
dataset\train\frock\aa2a40237b7787d8c6377f9e01002228.jpg,1,0,4
dataset\train\frock\aa7b80bc367acaa5e2d0cf226a9b1a35.jpg,1,0,4
dataset\train\frock\b2a85cd2fd6f6377da23653b43c63e01.jpg,1,0,4
dataset\train\frock\ba46ca35079bf94672e0ba7d83036185.jpg,1,0,4
dataset\train\frock\bdebb17476507d27b4f8b0bb97b4f312.jpg,1,0,3
dataset\train\frock\bf2fdc6c764ae669d859c46f819a4ae7.jpg,1,0,1
dataset\train\frock\c0ef1dc774a631cb827271684d2ccf42.jpg,1,0,9
dataset\train\frock\c716029054c7d500ee4bc79146cd3624.jpg,1,0,4
dataset\train\frock\c8ad54ef45c615cd011b96941869b92a.jpg,1,0,6
dataset\train\frock\ca40c693e6aa239827e9f2011f043d8d.jpg,1,0,3
dataset\train\frock\cc877cae59f9c5849ce688cfbd1ac84f.jpg,1,0,4
dataset\train\frock\d15b2b09e851a1b0871c086eaac43c90.jpg,1,0,3
dataset\train\frock\d2a156c912daccd98865aca04de424b6.jpg,1,0,2
dataset\train\frock\d2e3dcffe28807021e4820867f1f5230.jpg,1,0,3
dataset\train\frock\d5bdb0f0f1f8e688be155645960390f2.jpg,1,0,0
dataset\train\frock\d8e057d8b31bd30b6d95371ee17ca890.jpg,1,0,9
dataset\train\frock\d90090aedbdf4fd95bc077488751cbc3 (1).jpg,1,0,4
dataset\train\frock\df5aadccf838496114ae97f05b64d39f.jpg,1,0,6
dataset\train\frock\e30e4e6a54d75c7803fa9717daf0d430.jpg,1,0,7
dataset\train\frock\e43c41a5e35f7c1883f2a4b0547bf51f.jpg,1,0,3
dataset\train\frock\e49cb7b2baaa88aa56af3a0d2d668c4a.jpg,1,0,4
dataset\train\frock\e7d71a83a8acfe0a34dcc4f16f25f983.jpg,1,0,3
dataset\train\frock\e9a5da00591696731e9cad6d1ea5b9c1.jpg,1,0,6
dataset\train\frock\ec49227514062bfc398bb40326748107.jpg,1,0,4
dataset\train\frock\ee6615db925a29908115f15489f64ee5.jpg,1,0,3
dataset\train\frock\f2c7030f00602281d66963dd50f35926.jpg,1,0,9
dataset\train\frock\f6e71cacddb2310d56cc88fc2c4540bc.jpg,1,0,7
dataset\train\frock\fcc45920708be4a89c4ab1d44914bc25.jpg,1,0,3
dataset\train\frock\feec30a3bdede0a760f90e6a44ae339b.jpg,1,0,4
dataset\train\frock\Kalidar.jpg,1,0,2
dataset\train\frock\long anarkali suit stitching ideas.jpg,1,0,2
dataset\train\frock\pin_102245854036573149_Frock suit.jpg,1,0,9
dataset\train\frock\pin_1089730441256351714_“Mauve Élan”.png,1,0,2
dataset\train\frock\pin_1100496858927466368.jpg,1,0,7
dataset\train\frock\pin_1108518895764184353.jpg,1,0,9
dataset\train\frock\pin_1125618500631003576_Velvet Noir Long Frock Womenswear by Aleezay – VNA5.jpg,1,0,2
dataset\train\frock\pin_1140888518104710995_Soft Lilac Long Elegant Dress For Eid 🌙.jpg,1,2,2
dataset\train\frock\pin_352125264633980354.jpg,1,0,3
dataset\train\frock\pin_52565520645495936_Lina _ Soft lilac meets effortless grace—a pure Ti.jpg,1,0,2
dataset\train\frock\pin_556898310196506588.jpg,1,0,9
dataset\train\frock\pin_595601119506009997.jpg,1,0,9
"dataset\train\frock\pin_63543044738646879_anarkali suit, traditional suit, long suits.png",1,0,7
dataset\train\frock\pin_652388696042069331_Frock design pakistani wedding outfits latest frock ideas 2023 mehndi dress design ideas outfits.jpg,1,0,7
dataset\train\frock\pin_714665034648252202_Pakistani Party Dress Deep Purple Salwar Suit in Frock Style - Ready To Wear _ LARGE.jpg,1,0,8
dataset\train\frock\pin_735071970439240355_navy blue long Ethnic wear gown.jpg,1,2,7
dataset\train\frock\pin_772367404865263240.jpg,1,0,0
dataset\train\frock\pin_817544138622821478.jpg,1,0,8
dataset\train\frock\pin_840484349226079568.jpg,1,0,9
dataset\train\frock\pin_856317316649908658.jpg,1,0,7
dataset\train\frock\pin_879257527265139412_An elegant rust brown long frock featuring a grace.jpg,1,0,3
dataset\train\frock\pin_922534304894947727.jpg,1,0,7
dataset\train\frock\pin_999306604833647855_Pink anarkali🌷🎀.jpg,1,0,2
dataset\train\frock\Simple lawn printed ling frock from zsj. It’s very comfortable for your eid.jpg,1,1,2
dataset\train\frock\Sophisticated Forest Green Georgette Dress with Sheer Sleeves.jpg,1,0,7
dataset\train\frock\❤️.jpg,1,0,2
dataset\train\fusion wear women\0bd00aab22087a7a32e455816e5926bc.jpg,2,0,4
dataset\train\fusion wear women\0d39b5abafdf33e320a046450cecb10c.jpg,2,0,4
dataset\train\fusion wear women\0d797abaa424d0092cd6dcd1b191d15d.jpg,2,0,5
dataset\train\fusion wear women\183f4ce2c3d9dbb1aecde8168b0bd00c.jpg,2,0,4
dataset\train\fusion wear women\18426f94eb27ae05fecdd467e36bb4b0.jpg,2,0,4
dataset\train\fusion wear women\1f4e627af10271711170e0b770edc13a.jpg,2,0,2
dataset\train\fusion wear women\201d4fb3c6bb8311733412087d1f0af0.jpg,2,0,0
dataset\train\fusion wear women\25328a374f4d06de9ee14bc5fd36d929.jpg,2,0,4
dataset\train\fusion wear women\25e8a84f0a8287a9c1fc093e44aeda43.jpg,2,0,3
dataset\train\fusion wear women\2889b5fd13f42ba72562eeb9fe66636f.jpg,2,0,4
dataset\train\fusion wear women\2cbf6729a8fcca5d7b5e25a65b4f031f.jpg,2,0,4
dataset\train\fusion wear women\40a824aa8ac7bbc27a49404abd2626c6.jpg,2,0,4
dataset\train\fusion wear women\475a2e99ee24df46e642710905766e23.jpg,2,0,9
dataset\train\fusion wear women\5424d2f31332043f43d2dfe9f6ce845a.jpg,2,0,4
dataset\train\fusion wear women\55ac6d9560db8ece916d4eacf6b8f9cc.jpg,2,0,4
dataset\train\fusion wear women\57b906ff9073441e5b24b3d14660a908.jpg,2,0,5
dataset\train\fusion wear women\6ac1b75b57214493e89ffa2d0b66cdc8.jpg,2,0,3
dataset\train\fusion wear women\763193f12fddf41563a4497d2e0ac32a.jpg,2,0,4
dataset\train\fusion wear women\78766873cb6c765c2b18bae2dd402f56.jpg,2,0,4
dataset\train\fusion wear women\7b20d6096d8a1106f1ce9391f7fc0be6.jpg,2,0,5
dataset\train\fusion wear women\7d12961d308d0e5a36b163b339091fb0.jpg,2,0,4
dataset\train\fusion wear women\8367d238b4434dc7a9e92486f8ee217c.jpg,2,0,9
dataset\train\fusion wear women\863d6136d1a479749c80fd8e7cb2fcf5.jpg,2,0,9
dataset\train\fusion wear women\91ca5f14e0a9bef3351b1d42ed128aa7.jpg,2,0,3
dataset\train\fusion wear women\97db6b81721151c3a2133f3b6cde5df9.jpg,2,0,4
dataset\train\fusion wear women\9abf50ac5624f66cb6a3f2c220bdd8a4.jpg,2,0,4
dataset\train\fusion wear women\9e440dbbd908ba50fcde3e567ce9092c.jpg,2,0,5
dataset\train\fusion wear women\a85abd5ac2bdad796cdc4118cf91cdfa.jpg,2,0,9
dataset\train\fusion wear women\a9a747cb346203fac87bc48cafd513ea.jpg,2,0,6
dataset\train\fusion wear women\Amazon Finds ANNI DESIGNER Women’s Rayon Viscose Ethnic Co-Ord Set.jpg,2,2,2
dataset\train\fusion wear women\Beautiful pakistani kurti dress.jpg,2,0,4
dataset\train\fusion wear women\c2f97662572ed9ef0661b1bc183cc1cc.jpg,2,0,5
dataset\train\fusion wear women\c58ac7a5d01c3124d08aac12d773a51e (1).jpg,2,0,0
dataset\train\fusion wear women\cbd3495517d3b75ccf014582f2ae60ea.jpg,2,0,7
dataset\train\fusion wear women\d0379203ec9f30ee19a4cb18a0f27b18.jpg,2,0,0
dataset\train\fusion wear women\d11ad0e20d639f8eb564c3d5944b9ddd.jpg,2,0,2
dataset\train\fusion wear women\d9dd013779f8e18c05c9d8bc593f9d3b.jpg,2,0,4
dataset\train\fusion wear women\e2411d4dfea91c8265a9116dd546a9e7.jpg,2,0,4
dataset\train\fusion wear women\e7028436a07d5cbd86e88cb49d34fdc7.jpg,2,0,7
dataset\train\fusion wear women\e8e40b9a949faeb59aa4f102f8c739c2.jpg,2,0,4
dataset\train\fusion wear women\e90956f8c924632a7203b1d89b0e9be0.jpg,2,0,2
dataset\train\fusion wear women\ffdf180e340a9f1114eb32dc8a634a2b.jpg,2,0,4
dataset\train\fusion wear women\Iqbal Hussain.jpg,2,0,0
dataset\train\fusion wear women\Pakistani co-ord set.jpg,2,0,2
dataset\train\fusion wear women\pin_1003317623243267937.png,2,0,1
dataset\train\fusion wear women\pin_1010143391409189575.jpg,2,0,3
dataset\train\fusion wear women\pin_1014365516050229159_Fashion outfits.jpg,2,0,0
dataset\train\fusion wear women\pin_1019291328176376157.jpg,2,0,5
dataset\train\fusion wear women\pin_1063482899522632939.jpg,2,0,4
dataset\train\fusion wear women\pin_1068408711625612180_Fashion Designer Goes Viral For Her Dresses That Can Be Styled In At Least 3 Ways.jpg,2,0,1
dataset\train\fusion wear women\pin_14355292557201447.jpg,2,0,6
dataset\train\fusion wear women\pin_166281411235689606_Oyster Brocade Jumpsuit by Tarun Tahiliani at Pernia's Pop Up Shop 2026.jpg,2,0,4
dataset\train\fusion wear women\pin_183029172351263543_Mila.jpg,2,0,1
dataset\train\fusion wear women\pin_251286854200351379.jpg,2,0,4
dataset\train\fusion wear women\pin_289919294774971905.jpg,2,0,0
dataset\train\fusion wear women\pin_292311832085274433_Premium Beige Shade Luxury Pret Front Open Jacket (1).jpg,2,0,0
dataset\train\fusion wear women\pin_345158758961025760.jpg,2,0,5
dataset\train\fusion wear women\pin_401946335510628067.jpg,2,0,4
dataset\train\fusion wear women\pin_439593613656080100_Lilac Chiffon Printed Wedding Sharara Set by Ridhi Mehra at Pernia's Pop Up Shop 2026.jpg,2,1,9
dataset\train\fusion wear women\pin_440367669829507044_Baat pakki_ engagement dress inspo for bride_ grooms side.jpg,2,0,6
dataset\train\fusion wear women\pin_458663543318681123.jpg,2,0,1
dataset\train\fusion wear women\pin_459507968253700936.jpg,2,0,3
dataset\train\fusion wear women\pin_4610489837262279296_Designer Mustard Kurta Sharara Set Pink Ombre Dupatta Indian Wedding Festive Wear indian Kurta Shara.jpg,2,2,5
dataset\train\fusion wear women\pin_484981453643018377_Affinity Sharara Set _ RIdhi Mehra.jpg,2,0,6
"dataset\train\fusion wear women\pin_507569820524967613_Charkhee - Buy Kurta Set, Sarees, Lehenga, Dresses.jpg",2,0,4
dataset\train\fusion wear women\pin_518688082104300355.jpg,2,0,9
dataset\train\fusion wear women\pin_615656211596423182.jpg,2,0,4
dataset\train\fusion wear women\pin_624733779588961069_Tulip pants with short shirt and dupatta..jpg,2,0,5
dataset\train\fusion wear women\pin_709387378832359598.jpg,2,0,4
dataset\train\fusion wear women\pin_769411917618511150_mermaid vibes.jpg,2,0,7
dataset\train\fusion wear women\pin_773422936049534701_Lilac Gold Furl Sharara Set - L _ CUSTOM SIZE.jpg,2,0,3
dataset\train\fusion wear women\pin_784752303854554105.jpg,2,0,4
dataset\train\fusion wear women\pin_7881368092966467.jpg,2,0,3
dataset\train\fusion wear women\pin_812829432773607252.jpg,2,0,7
dataset\train\fusion wear women\pin_815573814747998668.jpg,2,0,4
dataset\train\fusion wear women\pin_848224911107388172.jpg,2,0,7
dataset\train\fusion wear women\pin_850758185895052332_Zarminay haq.jpg,2,0,4
dataset\train\fusion wear women\pin_858146904029305698.jpg,2,0,4
dataset\train\fusion wear women\pin_879257527254040741_Black Chanderi 3Piece Coord Set.jpg,2,0,4
dataset\train\fusion wear women\pin_883550020627988377_The Ethereal Charm of Organza Wedding Dresses.jpg,2,0,4
dataset\train\fusion wear women\pin_909164243520443414.jpg,2,0,7
dataset\train\fusion wear women\pin_929782285561342624_nikkah guest _ farah talib aziz.jpg,2,0,4
dataset\train\fusion wear women\pin_931541504186521692.jpg,2,0,2
dataset\train\fusion wear women\pin_961659326703907338__Traditional Glamour_ Must-Have Red Outfit_.jpg,2,0,1
dataset\train\fusion wear women\Rava.jpg,2,0,5
dataset\train\fusion wear women\Stitched Digital Printed Shirt Main image.jpg,2,1,3
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt + Shalwar Main image (1).jpg,2,2,9
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt + Shalwar Main image.jpg,2,2,4
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Culotte Main image (1).jpg,2,2,0
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Culotte Main image (3).jpg,2,2,7
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Culotte Main image.jpg,2,2,4
dataset\train\fusion wear women\Stitched Embroidered Lawn Shirt+ Shalwar Main image (1).jpg,2,2,5
